,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2780,"frozenset({'admission_source_id_7', 'number_diagnoses_9', 'medical_specialty_InternalMedicine'})",frozenset({'admission_type_id_1'}),0.23013580174124953,0.5305308256195586,0.22169486862016782,0.9633219470538001,1.8157699808089838,0.09960073171776367,12.799729993003412
3856,"frozenset({'readmitted_No', 'number_outpatient_0', 'number_inpatient_0'})",frozenset({'number_emergency_0'}),0.3656034431932079,0.8881453530648743,0.3500678026059784,0.9575068537332689,1.0780970146711202,0.02535880346941305,2.632298541346172
3664,"frozenset({'payer_code_MC', 'readmitted_No', 'number_inpatient_0'})",frozenset({'number_emergency_0'}),0.280290077236012,0.8881453530648743,0.2679676905842816,0.9560370214556164,1.0764420690334715,0.019029360976922816,2.5442918255004248
3571,"frozenset({'payer_code_MC', 'number_outpatient_0', 'number_inpatient_0'})",frozenset({'number_emergency_0'}),0.41140459485486314,0.8881453530648743,0.39213489770650317,0.9531612009458523,1.0732040624393482,0.026747818556619174,2.3880767482064793
2347,"frozenset({'readmitted_No', 'number_inpatient_0', 'race_Caucasian'})",frozenset({'number_emergency_0'}),0.3123636578031956,0.8881453530648743,0.29761413438673034,0.9527809236189757,1.072775892291788,0.0201898032424756,2.3688444482170388
2242,"frozenset({'number_outpatient_0', 'number_inpatient_0', 'race_Caucasian'})",frozenset({'number_emergency_0'}),0.44218108209028556,0.8881453530648743,0.4204252893893835,0.9507989066423699,1.0705442564792873,0.027704216117698688,2.273417912120021
3291,"frozenset({'discharge_disposition_id_1', 'readmitted_No', 'number_inpatient_0'})",frozenset({'number_emergency_0'}),0.2609319419059411,0.8881453530648743,0.24786274394198454,0.949913384047601,1.0695472095525504,0.016117252272029203,2.2332242817408408
2588,"frozenset({'number_outpatient_0', 'number_inpatient_0', 'gender_Male'})",frozenset({'number_emergency_0'}),0.27298901401253856,0.8881453530648743,0.25922213705952873,0.949569849897412,1.069160410084419,0.016768212826530765,2.218011382230359
1415,"frozenset({'readmitted_No', 'number_inpatient_0'})",frozenset({'number_emergency_0'}),0.40874162293889904,0.8881453530648743,0.3874673270050901,0.9479517261275123,1.0673384968533066,0.024445353987711915,2.1490558401448014
3799,"frozenset({'readmitted_No', 'number_inpatient_0', 'medical_specialty_InternalMedicine'})",frozenset({'number_emergency_0'}),0.2532574730263546,0.8881453530648743,0.23998191930507243,0.9475808016140922,1.0669208574296019,0.015052471507762843,2.1338488641443307
2736,"frozenset({'admission_source_id_7', 'num_procedures_0', 'medical_specialty_InternalMedicine'})",frozenset({'admission_type_id_1'}),0.23214040052669851,0.5305308256195586,0.21992610498594817,0.9473840162546563,1.7857285015404956,0.0967684666348638,8.922558146068827
3252,"frozenset({'discharge_disposition_id_1', 'number_outpatient_0', 'readmitted_No'})",frozenset({'number_emergency_0'}),0.2876599257119274,0.8881453530648743,0.27224220270031246,0.9464029514244721,1.06559466663712,0.0167583764162772,2.086955343772377
2275,"frozenset({'number_outpatient_0', 'readmitted_No', 'race_Caucasian'})",frozenset({'number_emergency_0'}),0.3550498201756972,0.8881453530648743,0.3360159581785665,0.9463910107384036,1.0655812221192522,0.020680110283001762,2.0864905023541347
3603,"frozenset({'payer_code_MC', 'number_outpatient_0', 'readmitted_No'})",frozenset({'number_emergency_0'}),0.3326160014150109,0.8881453530648743,0.3146728769923157,0.946054536323082,1.065202371501884,0.019261520980554114,2.0734764206500964
