,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2322,"frozenset({'readmitted_Yes', 'number_outpatient_0', 'race_Caucasian'})",frozenset({'diabetesmed_Yes'}),0.27868836350057974,0.7700312481575379,0.22347345871902208,0.8018758153802759,1.0413549025431537,0.00887471032568904,1.1607303383171512
518,"frozenset({'readmitted_Yes', 'race_Caucasian'})",frozenset({'diabetesmed_Yes'}),0.3580960242124089,0.7700312481575379,0.286854155611894,0.8010537292135448,1.0402873014961858,0.011109027127360893,1.1559339661576558
1017,"frozenset({'readmitted_Yes', 'discharge_disposition_id_1'})",frozenset({'diabetesmed_Yes'}),0.26648389442446396,0.7700312481575379,0.21337185307470077,0.8006932409012132,1.0398191538551722,0.00817092723714924,1.1538432157660927
2369,"frozenset({'readmitted_Yes', 'number_emergency_0', 'race_Caucasian'})",frozenset({'diabetesmed_Yes'}),0.3060845469017157,0.7700312481575379,0.24456105182477447,0.7989983627082731,1.0376181026679698,0.008866386132311888,1.1441138238525554
2119,"frozenset({'payer_code_MC', 'readmitted_Yes', 'race_Caucasian'})",frozenset({'diabetesmed_Yes'}),0.2605880156437317,0.7700312481575379,0.20818347974765639,0.7988989026735548,1.0374889390334339,0.007522564806617671,1.1435479711438687
196,frozenset({'readmitted_Yes'}),frozenset({'diabetesmed_Yes'}),0.4608808442898414,0.7700312481575379,0.3677947448067134,0.7980256705470982,1.0363549173576305,0.012902093026307015,1.1386038634978526
1402,"frozenset({'readmitted_Yes', 'number_outpatient_0'})",frozenset({'diabetesmed_Yes'}),0.36470923491146356,0.7700312481575379,0.290883006112061,0.797575104405227,1.0357697902696723,0.010045498738606051,1.1360695094679867
1442,"frozenset({'readmitted_Yes', 'number_inpatient_0'})",frozenset({'diabetesmed_Yes'}),0.2558221802959731,0.7700312481575379,0.2036731324803962,0.7961511869094262,1.0339206218116288,0.006682059680705343,1.1281338770428984
1141,"frozenset({'readmitted_Yes', 'admission_source_id_7'})",frozenset({'diabetesmed_Yes'}),0.27894385158107815,0.7700312481575379,0.22189139791285892,0.7954697572832635,1.0330356841837167,0.0070959157140103035,1.1243752942735057
648,"frozenset({'readmitted_Yes', 'gender_Female'})",frozenset({'diabetesmed_Yes'}),0.25224534716899555,0.7700312481575379,0.20032230804001336,0.7941566030385664,1.0313303582663087,0.00608550851754025,1.117202471573808
